trial_index;video_name;condition;bin;sample;success;failure_type;err_no_distractors;err_no_target;err_wrong_manip;err_new_target_id;err_new_target_unid;err_extra_distractors;err_font_change;err_rotation;err_movement;err_enlarge_target;err_enlarge_distractors;err_target_centre;err_circular_motion;err_merging;err_other;err_id_change_before;err_id_change_after;err_vanishing;fidelity_score_total;fidelity_omission;fidelity_numeric;fidelity_temporal;fidelity_physical_vanishing;notes;coder;timestamp
0;2Among5Colour_Bin1_Sample1.mp4;2Among5Colour;1;1;1;;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;6;0;1;5;0;;ER_01;2026-03-31T09:18:42.248Z
1;2Among5Colour_Bin1_Sample2.mp4;2Among5Colour;1;2;0;new_generation;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;1;2;0;;ER_01;2026-03-31T09:19:46.238Z
2;2Among5Colour_Bin1_Sample3.mp4;2Among5Colour;1;3;1;;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;4;0;1;2;1;;ER_01;2026-03-31T09:20:37.038Z
3;2Among5Colour_Bin1_Sample4.mp4;2Among5Colour;1;4;1;;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;7;0;1;5;1;;ER_01;2026-03-31T09:21:42.837Z
4;2Among5Colour_Bin1_Sample5.mp4;2Among5Colour;1;5;1;;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;3;0;distractor identity change;ER_01;2026-03-31T09:22:38.383Z
5;2Among5Colour_Bin1_Sample6.mp4;2Among5Colour;1;6;1;;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T09:23:17.070Z
6;2Among5Colour_Bin2_Sample1.mp4;2Among5Colour;2;1;0;new_generation;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;7;0;2;5;0;new distractors / ambiguity in circling new target;ER_01;2026-03-31T09:24:31.537Z
7;2Among5Colour_Bin2_Sample2.mp4;2Among5Colour;2;2;1;;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T09:25:19.368Z
8;2Among5Colour_Bin2_Sample3.mp4;2Among5Colour;2;3;1;;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T09:28:02.700Z
9;2Among5Colour_Bin2_Sample4.mp4;2Among5Colour;2;4;1;;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;5;0;1;3;1;;ER_01;2026-03-31T09:28:48.401Z
10;2Among5Colour_Bin2_Sample5.mp4;2Among5Colour;2;5;1;;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;1;7;0;1;5;1;;ER_01;2026-03-31T09:29:40.338Z
11;2Among5Colour_Bin2_Sample6.mp4;2Among5Colour;2;6;0;new_generation;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;6;0;2;4;0;;ER_01;2026-03-31T09:30:25.267Z
12;2Among5Colour_Bin3_Sample1.mp4;2Among5Colour;3;1;0;ambiguity;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;6;0;1;4;1;;ER_01;2026-03-31T09:31:39.633Z
13;2Among5Colour_Bin3_Sample2.mp4;2Among5Colour;3;2;1;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;1;0;;ER_01;2026-03-31T09:32:16.866Z
14;2Among5Colour_Bin3_Sample3.mp4;2Among5Colour;3;3;1;;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T09:32:55.200Z
15;2Among5Colour_Bin3_Sample4.mp4;2Among5Colour;3;4;0;ambiguity;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;0;0;0;6;0;1;5;0;;ER_01;2026-03-31T09:36:18.568Z
16;2Among5Colour_Bin3_Sample5.mp4;2Among5Colour;3;5;0;ambiguity;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;6;0;1;4;1;;ER_01;2026-03-31T09:37:55.968Z
17;2Among5Colour_Bin3_Sample6.mp4;2Among5Colour;3;6;0;new_generation;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;1;7;0;2;4;1;;ER_01;2026-03-31T09:41:00.268Z
18;2Among5Colour_Bin4_Sample1.mp4;2Among5Colour;4;1;1;;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T09:41:30.639Z
19;2Among5Colour_Bin4_Sample2.mp4;2Among5Colour;4;2;0;ambiguity;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T09:43:07.577Z
20;2Among5Colour_Bin4_Sample3.mp4;2Among5Colour;4;3;0;new_generation;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T09:44:02.949Z
21;2Among5Colour_Bin4_Sample4.mp4;2Among5Colour;4;4;0;ambiguity;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;5;0;0;5;0;;ER_01;2026-03-31T09:44:51.783Z
22;2Among5Colour_Bin4_Sample5.mp4;2Among5Colour;4;5;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;;ER_01;2026-03-31T09:45:26.799Z
23;2Among5Colour_Bin4_Sample6.mp4;2Among5Colour;4;6;0;ambiguity;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T09:45:58.598Z
24;2Among5Colour_Bin5_Sample1.mp4;2Among5Colour;5;1;0;new_generation;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T09:48:51.404Z
25;2Among5Colour_Bin5_Sample2.mp4;2Among5Colour;5;2;0;ambiguity;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T09:49:22.181Z
26;2Among5Colour_Bin5_Sample3.mp4;2Among5Colour;5;3;1;;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T09:49:45.163Z
27;2Among5Colour_Bin5_Sample4.mp4;2Among5Colour;5;4;0;ambiguity;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T09:50:38.444Z
28;2Among5Colour_Bin5_Sample5.mp4;2Among5Colour;5;5;0;ambiguity;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;6;0;1;4;1;;ER_01;2026-03-31T09:53:20.196Z
29;2Among5Colour_Bin5_Sample6.mp4;2Among5Colour;5;6;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T09:53:41.964Z
30;2Among5Colour_Bin6_Sample1.mp4;2Among5Colour;6;1;0;ambiguity;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;6;0;0;6;0;;ER_01;2026-03-31T09:54:54.435Z
31;2Among5Colour_Bin6_Sample2.mp4;2Among5Colour;6;2;1;;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T09:55:41.325Z
32;2Among5Colour_Bin6_Sample3.mp4;2Among5Colour;6;3;1;;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;6;0;1;5;0;;ER_01;2026-03-31T09:56:16.490Z
33;2Among5Colour_Bin6_Sample4.mp4;2Among5Colour;6;4;0;ambiguity;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T09:57:12.234Z
34;2Among5Colour_Bin6_Sample5.mp4;2Among5Colour;6;5;0;ambiguity;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T09:58:02.146Z
35;2Among5Colour_Bin6_Sample6.mp4;2Among5Colour;6;6;1;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;;ER_01;2026-03-31T09:59:07.969Z
36;2Among5ConjRed_Bin1_Sample1.mp4;2Among5ConjRed;1;1;1;;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;5;0;0;5;0;;ER_01;2026-03-31T10:00:21.474Z
37;2Among5ConjRed_Bin1_Sample2.mp4;2Among5ConjRed;1;2;0;new_generation;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;4;1;2;1;0;;ER_01;2026-03-31T10:02:10.209Z
38;2Among5ConjRed_Bin1_Sample3.mp4;2Among5ConjRed;1;3;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;;ER_01;2026-03-31T10:02:55.096Z
39;2Among5ConjRed_Bin1_Sample4.mp4;2Among5ConjRed;1;4;1;;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;6;0;1;5;0;;ER_01;2026-03-31T10:03:52.538Z
40;2Among5ConjRed_Bin1_Sample5.mp4;2Among5ConjRed;1;5;1;;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T10:05:23.144Z
